code_ref,category,title,price,product_url,image,rating
RiByIGUgbi,Men clothes,"Frenchie Mom, French Bulldog, French Bulldog Gifts, French Bulldog Sweatshirt, Frenchie Mama T-Shirt, Dog Mom,Frenchie Clothes,Frenchie Gift",23.79,https://www.etsy.com/listing/1445717764/frenchie-mom-french-bulldog-french?click_key=6115982fb863b1a8541b018e072d59ff4436870b%3A1445717764&click_sum=014492c4&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=Men+clothes&ref=search_grid-183099-1-1&pro=1&sts=1,https://i.etsystatic.com/38246722/r/il/5b0cd5/4812006900/il_340x270.4812006900_rg42.jpg,4.9697
TSBpIG4gaS,Men clothes,Miniature 1/12.  Folded  shirt for men,6.88,https://www.etsy.com/listing/1280744780/miniature-112-folded-shirt-for-men?click_key=57de3f06dfc1969f3efaea73d02a5a3da875fbfb%3A1280744780&click_sum=63210c07&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=Men+clothes&ref=search_grid-183099-1-2&cns=1&sts=1,https://i.etsystatic.com/10438519/r/il/27c954/4164666275/il_340x270.4164666275_6ffu.jpg,4.9732
ViBpIG4gdC,Men clothes,Vintage 2000s Aspen Colorado Mountain Nature Animals Embroidered Design USA Made Cream Zip Up Fleece Vest Extra Large Mens *P9,22.99,https://www.etsy.com/listing/1455072549/vintage-2000s-aspen-colorado-mountain?click_key=f075844e9eb91682691c5a157654c3a20be815e0%3A1455072549&click_sum=f34bcdf9&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=Men+clothes&ref=search_grid-183099-1-3&frs=1&cns=1&sts=1,https://i.etsystatic.com/32249332/r/il/8720d8/4839734843/il_340x270.4839734843_pfcp.jpg,4.9033
TSBvIG4gcy,Men clothes,"Monster Teeth Horror Unisex Sweatshirt, Anime Sweatshirt, Grunge, Goth, Aesthetic Clothing, Streetwear, Men/Women, Manga, Anime Gifts",35.00,https://www.etsy.com/listing/1027549028/monster-teeth-horror-unisex-sweatshirt?click_key=ad9ce896b6adcc84d4da4ead7bd41e82f47280c9%3A1027549028&click_sum=cddaf1c9&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=Men+clothes&ref=search_grid-183099-1-4&frs=1,https://i.etsystatic.com/26308092/c/1000/794/0/0/il/f47897/3214278333/il_340x270.3214278333_5m41.jpg,5
TiBlIHcgIC,Men clothes,New 2023 Summer Man Fashion T shirt| Men's 3D Sports T-shirt O-neck| T shirt Short Sleeve| Men Fashion T shirt| Gift For Men| Men Clothes,34.71,https://www.etsy.com/listing/1301691612/new-2023-summer-man-fashion-t-shirt-mens?click_key=db8004326601230105c7741d3c805e8126ccaf3c%3A1301691612&click_sum=430fb8d7&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=Men+clothes&ref=search_grid-183099-1-5&pro=1&frs=1,https://i.etsystatic.com/26322536/r/il/4a1a69/4209113368/il_340x270.4209113368_lp1t.jpg,4.5313
UCByIG8gYy,Men clothes,Procreate Clothes Stamps Brushes 66 Man Anime Clothing Procreate Dress Fashion Hoodie Jeans Boy Cloth Guide Manga Character Fashion Design,8.00,https://www.etsy.com/listing/1402178961/procreate-clothes-stamps-brushes-66-man?click_key=fae1e099ef9b573274094d0311e61b59f3d578d3%3A1402178961&click_sum=5dd0dc6b&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=Men+clothes&ref=search_grid-183099-1-6&bes=1&sts=1,https://i.etsystatic.com/25418593/r/il/624dd0/4559681128/il_340x270.4559681128_jhwt.jpg,4.8763
RiBhIGwgYy,Men clothes,"Falcon tank top, 4 colors, unisex sports athletic wear with abstract art of bird flying, front and back print",29.95,https://www.etsy.com/listing/1115408042/falcon-tank-top-4-colors-unisex-sports?click_key=ad175ca4bc9895b9258c3a036b190b7abbb33713%3A1115408042&click_sum=a81bdb4d&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=Men+clothes&ref=search_grid-183099-1-7,https://i.etsystatic.com/32589021/r/il/c8e3e1/3547616135/il_340x270.3547616135_9dtu.jpg,5
RiBsIG8gci,Men clothes,Floral Luisa from Encanto,25.00,https://www.etsy.com/listing/1214618201/floral-luisa-from-encanto?click_key=c28ff8adf411464acde8849f117168b5caa8e88a%3A1214618201&click_sum=1d991f64&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=Men+clothes&ref=search_grid-183099-1-8,https://i.etsystatic.com/34860113/r/il/081009/3805758288/il_340x270.3805758288_4isu.jpg,4.7714
SCBlIGIgci,Men clothes,"Hebrew Israelite Men's Scarf heavyweight, Headwrap, Shemagh, Cotton Military, Tactical scarf",15.99,https://www.etsy.com/listing/1262262680/hebrew-israelite-mens-scarf-heavyweight?click_key=021b13c3b71d67b05754704ad5ff4b168d24f248%3A1262262680&click_sum=99e67bd0&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=Men+clothes&ref=search_grid-293399-2-1&frs=1&bes=1,https://i.etsystatic.com/28083821/r/il/33260a/4090226211/il_340x270.4090226211_jrsh.jpg,4.8355
ViBpIG4gdC,Men clothes,Vintage CONVERSE Pullover Crewneck Sweatshirt,35.00,https://www.etsy.com/listing/809394616/vintage-converse-pullover-crewneck?click_key=5a9bc857f06f794665551f8c5db5ea39182085c9%3A809394616&click_sum=578e73c9&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=Men+clothes&ref=search_grid-293399-2-2&cns=1,https://i.etsystatic.com/23585103/r/il/ced028/2405953055/il_340x270.2405953055_ix1e.jpg,5
